,point,ndep,MANC_N,FARM_N,Fixation,ldrainden,PPT30MEAN,meanTemp,tiles_perc,soil_CLAYAVE,rchdecay1,rchdecay2,iresload
point,1,-0.115649455228823,-0.0296247168689665,-4.22686107519227e-05,0.00464974120262768,0.104853887070184,0.0813008937967003,-0.113645545301458,0.0430761970108859,0.039301593757058,-0.035825160080243,0.0257418940730985,0.0215253894500143
ndep,-0.115649455228823,1,0.0330734007643196,-0.143849352085173,0.028190486135529,0.295292616344801,-0.559927855830633,0.337684146133658,0.204310119536877,0.0510376741621793,0.194837875580286,0.219711946925622,0.178111645983733
MANC_N,-0.0296247168689665,0.0330734007643196,1,-0.260056256639095,0.00763756018083055,0.0814489691718132,-0.242125602497928,0.327474851225943,0.0504182917566144,-0.0501696944935148,-0.0375858887583121,0.0557336717348467,-0.111272723923056
FARM_N,-4.22686107519227e-05,-0.143849352085173,-0.260056256639095,1,-0.871520448620096,0.0547388790011912,-0.035450339416761,-0.288811861327663,0.016006860308503,-0.290197790909093,-0.00977563561529243,0.10971378254915,0.0519682781750122
Fixation,0.00464974120262768,0.028190486135529,0.00763756018083055,-0.871520448620096,1,0.140274486460647,0.202449338798916,0.132782000573577,-0.250708090511076,0.216146750101522,0.13187110872201,-0.0106274445208204,0.0261417061737197
ldrainden,0.104853887070184,0.295292616344801,0.0814489691718132,0.0547388790011912,0.140274486460647,1,-0.0857143180328059,-0.0868497798209199,-0.0160149038794969,0.00704234824530801,0.16178468073917,0.13987000638451,-0.0842532836845146
PPT30MEAN,0.0813008937967003,-0.559927855830633,-0.242125602497928,-0.035450339416761,0.202449338798916,-0.0857143180328059,1,-0.760919156328301,-0.0599210461540997,0.206400687501497,-0.145182283583425,-0.15906754746158,-0.102074711481659
meanTemp,-0.113645545301458,0.337684146133658,0.327474851225943,-0.288811861327663,0.132782000573577,-0.0868497798209199,-0.760919156328301,1,-0.0466746536504274,-0.363391676607916,0.0166412825020862,0.065947686894482,-0.0330814488854729
tiles_perc,0.0430761970108859,0.204310119536877,0.0504182917566144,0.016006860308503,-0.250708090511076,-0.0160149038794969,-0.0599210461540997,-0.0466746536504274,1,-0.0309296677065537,-0.134309776114893,-0.0357887236474886,-0.0990835832242258
soil_CLAYAVE,0.039301593757058,0.0510376741621793,-0.0501696944935148,-0.290197790909093,0.216146750101522,0.00704234824530801,0.206400687501497,-0.363391676607916,-0.0309296677065537,1,0.0736970223670739,-0.115040976049119,-0.0558850494530776
rchdecay1,-0.035825160080243,0.194837875580286,-0.0375858887583121,-0.00977563561529243,0.13187110872201,0.16178468073917,-0.145182283583425,0.0166412825020862,-0.134309776114893,0.0736970223670739,1,0.0274832371519547,0.0750794962162093
rchdecay2,0.0257418940730985,0.219711946925622,0.0557336717348467,0.10971378254915,-0.0106274445208204,0.13987000638451,-0.15906754746158,0.065947686894482,-0.0357887236474886,-0.115040976049119,0.0274832371519547,1,0.0634746870179426
iresload,0.0215253894500143,0.178111645983733,-0.111272723923056,0.0519682781750122,0.0261417061737197,-0.0842532836845146,-0.102074711481659,-0.0330814488854729,-0.0990835832242258,-0.0558850494530776,0.0750794962162093,0.0634746870179426,1
