waterid,demtarea,rchname,station_id,station_name,staid,huc2,standardResids,Resids,leverage,leverageCrit,CooksD,CooksDpvalue,weight,tiarea,residCheck
90564,487.2,BOIS BRULE R,163002,BOIS BRULE RIVER,2,4,-0.578604781459072,-0.330571065208801,0.0268681725253552,0.0254237288135593,0.00154056219962992,0.999999999002231,1,487.2,0.578604781459072
90253,791.93,CLINTON R,4161820,CLINTON RIVER AT STERLING HEIGHTS MI,14,4,-1.22871828526633,-0.694847310037826,0.0465890018226318,0.0254237288135593,0.0122957957542687,0.999998608535762,1,791.93,1.22871828526633
90281,636.15,CHAGRIN R,4209000,Chagrin River at Willoughby OH,25,4,-0.681415971021081,-0.385782556242548,0.0444210041099561,0.0254237288135593,0.00359745311381811,0.999999980694527,1,636.15,0.681415971021081
91469,6077.05,ST LOUIS R,SL 500,ST. LOUIS RIVER AT COUNTY RD. 31,30,4,0.0411012540765568,0.0225490233241779,0.10267170124407,0.0254237288135593,3.22150114553581e-05,0.999999999999999,1,6077.05,0.0411012540765568
65146,3487.42,ONTONAGON R,4040000,ONTONAGON RIVER NEAR ROCKLAND MI,37,4,-0.228477052769484,-0.130449325212958,0.0281381445363765,0.0254237288135593,0.000251898072783555,0.99999999999823,1,3487.42,0.228477052769484
65685,3777.68,MANISTIQUE R,4057005,MANISTIQUE RIVER AT MANISTIQUE MI,38,4,0.978209703665988,0.559195504230653,0.0257521680901962,0.0254237288135593,0.00421557706755823,0.999999966429375,1,3777.68,0.978209703665988
90052,664.39,REED CR,3167000,REED CREEK AT GRAHAMS FORGE VA,58,5,-0.275760562027468,-0.157406580983482,0.0286237085604326,0.0254237288135593,0.000373466337535677,0.999999999992979,1,664.39,0.275760562027468
90643,180.51,CROOKED CR,9-CRK003.00,Crooked Creek RT. 635 BRIDGE AT INTERSECTION WITH,60,5,-0.267558677397658,-0.152192486758802,0.0353841703360724,0.0254237288135593,0.000437664642725365,0.999999999987769,1,180.51,0.267558677397658
90053,798.17,LITTLE R,3170000,LITTLE RIVER AT GRAYSONTOWN VA,61,5,-0.66435583344345,-0.379214996647805,0.0286504546957886,0.0254237288135593,0.00216973269190066,0.999999996697649,1,798.17,0.66435583344345
90569,129.23,GAULEY R BRUSHY FK,1SUMW0004,MUDDLETY CREEK OF GAULEY RIVER,65,5,-0.505548030318076,-0.283666817410516,0.0613617111553103,0.0254237288135593,0.00278466394027658,0.999999992104635,1,129.23,0.505548030318076
90857,212.5,POND R,1JWFW0002,POUND RIVER                                   VA,74,5,1.02485245414628,0.556294788941907,0.121597968406779,0.0254237288135593,0.024232846311645,0.99998552809999,1,212.5,1.02485245414628
90850,171.11,CRANESNEST R,1JWFW0003,CRANES NEST R OF POUND RIVER                  VA,75,5,1.08220223207131,0.614484803148033,0.0388050467830482,0.0254237288135593,0.00788029235301506,0.999999703184775,1,171.11,1.08220223207131
90930,748.94,LICKING R N FK,PRI060,NORTH FORK LICKING RIVER NEAR MILFORD,90,5,1.33945541620941,0.76215218688839,0.0347653278204246,0.0254237288135593,0.0107700740699633,0.999999121164067,1,748.94,1.33945541620941
90915,669.89,HINKSTON CR,PRI102,HINKSTON CREEK AT RUDDLES MILLS,91,5,1.45957172805787,0.820673744781596,0.0574677195115415,0.0254237288135593,0.0216484778108106,0.99999017843026,1,669.89,1.45957172805787
90122,1400.48,KENTUCKY R MIDDLE FK,3281000,MIDDLE FORK KENTUCKY RIVER AT TALLEGA KY,92,5,-0.526966542130673,-0.301119453034845,0.0265411887110349,0.0254237288135593,0.00126187873924655,0.999999999503354,1,1400.48,0.526966542130673
90877,824.08,DIX R,3285000,DIX RIVER NEAR DANVILLE KY,95,5,1.37802141716438,0.783223182392826,0.0369137750054232,0.0254237288135593,0.0121306472526763,0.999998672255397,1,824.08,1.37802141716438
90697,251.88,S ELKHORN CR,PRI034,SOUTH ELKHORN CREEK NEAR MIDWAY,96,5,2.33564981257242,1.33285986073025,0.0291334019489488,0.0254237288135593,0.0272832340377569,0.999978267108205,1,251.88,2.33564981257242
90129,1133.83,EAGLE CR,3291500,EAGLE CREEK AT GLENCOE KY,98,5,0.656676036246806,0.37472165076723,0.0292189816817805,0.0254237288135593,0.00216319109254556,0.999999996732306,1,1133.83,0.656676036246806
90698,466.48,SALT R,PRI052,SALT RIVER NEAR GLENSBORO,132,5,1.68884248962584,0.960048073627677,0.0365843290587642,0.0254237288135593,0.0180512978295538,0.999994748941501,1,466.48,1.68884248962584
90899,669.35,BRASHEARS CR,PRI105,BRASHEARS CREEK AT TAYLORSVILLE,137,5,2.35109827506263,1.34273975933015,0.0275927886801983,0.0254237288135593,0.0261419355338957,0.999981227532945,1,669.35,2.35109827506263
90337,2327.27,DES LACS R,5116500,DES LACS RIVER AT FOXHOLM ND,289,9,-8.01297562247824,-4.62328892608676,0.00752296637504225,0.0254237288135593,0.0811157237566254,0.999149633630533,1,2327.27,8.01297562247824
90323,2013.7,BALDHILL CR,5057200,BALDHILL CREEK NR DAZEY ND,290,9,-5.26918355459099,-3.04239642405663,0.00608101216221222,0.0254237288135593,0.0283113311471969,0.999975332753821,1,2013.7,5.26918355459099
65559,724.79,TURTLE R,5082625,TURTLE RIVER AT TURTLE R STATE PARK NR ARVILLA ND,292,9,-4.44349898392487,-2.56566907696621,0.00606691260882842,0.0254237288135593,0.0200867424419243,0.999992410253425,1,724.79,4.44349898392487
91494,4900.83,LITTLE FORK R,LRLF7.5-BB14A71,LITTLE FORK R MN-11 BRIDGE 0.5 MI W OF PELLAND,293,9,1.0039503889731,0.572648209226086,0.0300321308970518,0.0254237288135593,0.00520118204037814,0.999999930154087,1,4900.83,1.0039503889731
91493,5234.86,BIG FORK R,LRBF-.5-BB14A71,BIG FORK RIVER BRIDGE ON MN-11 4 MI E OF LOMAN,294,9,0.77076134229174,0.436528441179943,0.0437063337581569,0.0254237288135593,0.00452524082916806,0.999999957013088,1,5234.86,0.77076134229174
65113,31.52,UPPER TWIN CR,3237280,Upper Twin Creek at McGaw OH,300,5,-48.4457683889952,-0.887927103989256,0.998998504579145,0.0254237288135593,390190.163589423,0,1,31.52,48.4457683889952
65151,328.94,POPPLE R,4063700,POPPLE RIVER NEAR FENCE WI,301,4,0.0798919383973707,0.0453962370882408,0.0374133525652875,0.0254237288135593,4.13467577953427e-05,0.999999999999997,1,328.94,0.0798919383973707
65183,488,BEAVER CR,5064900,BEAVER CREEK NR FINLEY ND,302,9,-4.11855635728802,-2.37875839759089,0.00547276299183883,0.0254237288135593,0.0155571032803864,0.999996858128035,1,488,4.11855635728802
65188,829.4,KAWISHIWI R,5124480,KAWISHIWI RIVER NEAR ELY MN,303,9,-1.03656754112862,-0.571062580787293,0.0951465726465491,0.0254237288135593,0.0188303708550924,0.999993925007243,1,829.4,1.03656754112862
91458,4566.21,OTTER TAIL R,S000-111,OTTER TAIL R BR ON CSAH-15 WEST OF FERGUS FALLS,305,9,-3.04379291798066,-1.75975308209882,0.00349540980802122,0.0254237288135593,0.00541623813992482,0.999999919560501,1,4566.21,3.04379291798066
65653,16887.5,RED R,5053800,RED RIVER OF THE NORTH ABOVE FARGO ND,312,9,-3.65410938507343,-2.11076243428628,0.00523232560351043,0.0254237288135593,0.0117053643088131,0.9999988267926,1,6358.85,3.65410938507343
90067,163.85,COAL R CLEAR FK,3198350,CLEAR FORK AT WHITESVILLE WV,322,5,0.688575952374752,0.381922412352571,0.0828241187430068,0.0254237288135593,0.00713602972639219,0.999999789828433,1,163.85,0.688575952374752
90931,2232.05,COAL R,550476,Coal River at Tornado W. Va.,323,5,0.899373258793977,0.510901922461867,0.0379421851172138,0.0254237288135593,0.00531679428867413,0.999999924591488,1,2068.2,0.899373258793977
90254,390.6,HURON R,4170000,HURON RIVER AT MILFORD MI,356,4,-2.61730682409761,-1.475105978785,0.0530147590142549,0.0254237288135593,0.063916296948038,0.999613021781485,1,390.6,2.61730682409761
90317,5728.82,SHEYENNE R,5056000,SHEYENNE RIVER NR WARWICK ND,371,9,-5.84947281603835,-3.37860889113755,0.00540006595148073,0.0254237288135593,0.030962273424477,0.999966501639043,1,5728.82,5.84947281603835
90471,220.03,LITTLE CALUMET R,5536195,LITTLE CALUMET RIVER AT MUNSTER IND.,399,7,-0.0562158769174826,-0.0319835371418602,0.0349694917266649,0.0254237288135593,1.90860037871151e-05,1,1,220.03,0.0562158769174826
90473,1685.97,CHICAGO SHIP CANAL,5536995,CHICAGO SANITARY AND SHIP CANAL AT ROMEOVILLE IL,400,7,3.35728217692043,1.88807713411106,0.0570909273958846,0.0254237288135593,0.113742225823808,0.997458469098746,1,1465.94,3.35728217692043
90476,248.16,DU PAGE R W BR,5540095,WEST BRANCH DU PAGE RIVER NEAR WARRENVILLE IL,401,7,0.718598336546621,0.402322652744685,0.0654929195768068,0.0254237288135593,0.0060316053747501,0.999999882967007,1,248.16,0.718598336546621
90567,136.79,TWELVEPOLE CR E FK,1ELTW0031,East Fork Twelvepole Ck,423,5,-1.57553016415788,-0.899252960211754,0.0287828413711511,0.0254237288135593,0.0122608198672562,0.999998622207603,1,136.79,1.57553016415788
90568,72.55,KIAH CR,1ELTW0032,Kiah Creek,424,5,-2.10696080140292,-1.1478243123508,0.115202338946064,0.0254237288135593,0.0963338666124219,0.998510491130906,1,72.55,2.10696080140292
90645,164.62,ELK CR,9-EKC003.78,AT MT CARMEL CHURCH ON RT 650 1.8 MI OFF RT 660,450,5,0.730251775713339,0.414005393927855,0.0417633125871258,0.0254237288135593,0.00387361217742583,0.999999975009533,1,164.62,0.730251775713339
90882,759.91,WALKER CR,9-WLK004.34,Walker Creek RT. 622 BRIDGE BELOW PEARISBURG,451,5,-0.716794470560652,-0.409492886023882,0.0270075538022899,0.0254237288135593,0.00237691594396843,0.999999995458466,1,759.91,0.716794470560652
90880,2852.39,KENTUCKY R N FK,PRI031,NORTH FORK KENTUCKY RIVER AT JACKSON,540,5,-0.154181817233397,-0.0865684402931048,0.0601492235647196,0.0254237288135593,0.000253563180674405,0.999999999998189,1,2852.39,0.154181817233397
90870,105.55,SLATE CR,6ASAT000.03,Slate Creek RT. 460 BRIDGE IN GRUNDY,547,5,1.02901327202023,0.588306292485314,0.0255241657352025,0.0254237288135593,0.00462243895432633,0.999999953706131,1,105.55,1.02901327202023
90894,534.08,JOHNS CR,1DEWW0001,JOHNS CR OF LEVISA FORK                       KY,551,5,4.42491005620145,2.48053081177943,0.0631147617227355,0.0254237288135593,0.219837711842674,0.980796378017725,1,534.08,4.42491005620145
90900,164.69,*C,PRI030,POND CREEK NEAR LOUISVILLE,554,5,0.37629478064211,0.210386994480901,0.0680611238631651,0.0254237288135593,0.00172352197853581,0.999999998522958,1,164.69,0.37629478064211
90946,132.28,HOLLY R RIGHT FK,1SUTW0008,RIGHT FK HOLLY RIVER                          WV,559,5,1.34875194764491,0.766910963834013,0.0361004836612549,0.0254237288135593,0.0113551840376792,0.999998944095745,1,132.28,1.34875194764491
90994,1852.62,CHEAT R,4CRR11005,CHEAT RIVER RM 75.6,562,5,1.11719812021162,0.632983590820269,0.0429589861757447,0.0254237288135593,0.00933754302503905,0.999999464617175,1,1852.62,1.11719812021162
91169,138.94,LITTLE CUYAHOGA R,502080,L. CUYAHOGA R. AT AKRON - OTTO ST GAGE (RM 1.85),606,4,-0.870651388938619,-0.489750687850096,0.0566615121606665,0.0254237288135593,0.0075885351612297,0.999999739691225,1,138.94,0.870651388938619
65168,1824.24,CUYAHOGA R,4208000,Cuyahoga River at Independence OH,607,4,0.753142775739919,0.43059031015529,0.0255043283635305,0.0254237288135593,0.00247421454493015,0.999999994775211,1,1206.08,0.753142775739919
90469,314.28,SALT CR,5531500,SALT CREEK AT WESTERN SPRINGS IL,616,7,1.27868940661282,0.711025441731531,0.0781798733729776,0.0254237288135593,0.0231114748499308,0.99998770181537,1,314.28,1.27868940661282
90407,1448.67,ROCK R,5424082,ROCK RIVER AT HUSTISFORD WI,666,7,-3.4526569296278,-1.99958461797398,4.89079026351371e-05,0.0254237288135593,9.71752986187627e-05,0.999999999999937,1,249.61,3.4526569296278
65689,4532.62,AU SABLE R,4137500,AU SABLE RIVER NEAR AU SABLE MI,690,4,-2.87189736013142,-1.64191088278247,0.0255324693753197,0.0254237288135593,0.0360173723113994,0.999943908696924,1,4532.62,2.87189736013142
91461,62.92,WHITE R LONG L BR,20051,DRUMMOND BOG DISCHARGE 1MI NE DRUMMONDWI,691,4,1.47793573757065,0.844682154145227,0.0261735304342966,0.0254237288135593,0.00978454383044098,0.999999370190282,1,62.92,1.47793573757065
91471,218.3,KNIFE R,18,KNIFE RIVER UPSTREAM OF US-61 AT KNIFE RIVER,693,4,0.597963007897775,0.339061974735905,0.0414482212573109,0.0254237288135593,0.00257684149580304,0.999999993978253,1,218.3,0.597963007897775
90322,8833.78,SHEYENNE R,5057000,SHEYENNE RIVER NR COOPERSTOWN ND,699,9,-3.27307579480383,-1.89128752750275,0.00457388292986438,0.0254237288135593,0.00820421225636088,0.999999658547084,1,3104.96,3.27307579480383
91473,11677.52,SHEYENNE R,380153,SHEYENNE RIVER - BALHILL DAM,700,9,-3.29761668766939,-1.90782449225308,0.00211031302068482,0.0254237288135593,0.00383277599891631,0.99999997591683,1,830.04,3.29761668766939
