waterid,origWaterid,demtarea,rchname,station_id,station_name,staid,huc2,Obs,predict,Obsyield,predictYield,Resids,standardResids,leverage,leverageCrit,CooksD,CooksDpvalue,boot_resid,weight,tiarea,pResids,ratio.obs.pred,pratio.obs.pred,xlat,xlon,urban_Jgradient,crops_Jgradient,pasture_Jgradient,forest_Jgradient,barren_Jgradient,huc2,huc4
65144,65144,1159.37,NEMADJI R,4024430,NEMADJI RIVER NEAR SOUTH SUPERIOR WI,1,4,376632.5467,269588.505928595,324.859662316603,232.530172359639,0.334373290619707,0.583150193929042,0.0157966699920879,0.0211864406779661,0.00109162019047159,0.999999994110894,0.337045989707587,1,1159.37,0.334313209137774,1.3970645573434,1.39698062215594,46.63326,-92.0943,-0.000105482921747259,-6.25648342889598e-05,-0.000363111253856562,-0.00250447081780086,1.83094920300923e-10,4,401
90564,90564,487.2,BOIS BRULE R,163002,BOIS BRULE RIVER,2,4,82640.58624,106332.831773138,169.623534975369,218.252938779018,-0.252073178551086,-0.44368297045842,0.0337482882771006,0.0211864406779661,0.00137510857174874,0.999999988235693,-0.256437479488786,1,487.2,-0.252149472496399,0.777187862506236,0.777128570039813,46.67936,-91.59491,-0.000176736615400659,4.32777498530579e-06,-0.000107659463383505,-0.00371380002783212,0,4,401
90583,90583,332.05,KEWAUNEE R,313038,KEWAUNEE RIVER NEAR KEWAUNEE WI,3,4,380809.1308,316626.080233652,1146.84273693721,953.549405913724,0.184576760541827,0.321912391447469,0.0158502855687644,0.0211864406779661,0.000333796135858291,0.999999999831335,0.186057179958257,1,332.05,0.184568177472979,1.20270929835908,1.20269897546667,44.45745,-87.55573,-6.61750776929086e-05,-0.000229186745236904,-0.000524408900881605,-1.69966090258477e-06,-3.03937567699532e-08,4,403
90214,90214,1807.74,OCONTO R,4071000,OCONTO RIVER NEAR GILLETT WI,4,4,325416.8245,622112.721317074,180.013068527554,344.138383460605,-0.648014402797656,-1.12586929159979,0.008310099790892,0.0211864406779661,0.0021243999964446,0.999999956696199,-0.650723833446595,1,1807.74,-0.648052549770313,0.523083379184178,0.523063425517404,44.86465,-88.30013,-0.000132997535112783,-0.000185939883547896,-0.000131118187557919,-0.00185433004471998,0,4,403
90599,90599,2548.52,OCONTO R,433002,OCONTO RIVER NEAR OCONTO WI,5,4,566376.9709,1012734.90330789,222.237600999796,397.38157962578,-0.581149892507982,-1.00666478390655,0.00232499421901654,0.0211864406779661,0.000472315864022044,0.999999999522314,-0.581826657913867,1,740.78,-0.838109807669115,0.559254913650201,0.432527311049289,44.88271,-87.88429,-4.42236401136318e-05,-0.000257443409311264,-0.000107661828174249,-0.000285563509476441,-5.04591290857314e-06,4,403
90223,90223,313.15,RED R,4077630,RED RIVER AT MORGAN ROAD NEAR MORGAN WI,6,4,138169.3425,154846.648885148,441.224149768482,494.480756459039,-0.113955212719697,-0.197555551536109,0.00396996157642768,0.0211864406779661,3.11115995126371e-05,0.999999999999863,-0.114182087364303,1,313.15,-0.113978100903291,0.892297918584484,0.892277495739625,44.89814,-88.84409,-9.33669761644179e-05,-0.000307024918644307,-0.000107266908120103,-0.000932294721831046,0,4,403
90684,90684,878.18,ELKHART R,LMJ190-0006,Elkhart River,7,4,960006.8084,1166513.68912953,1093.1777180077,1328.33096760292,-0.194834450088617,-0.337959841260996,0.00508993184345085,0.0211864406779661,0.000116866040940523,0.999999999992758,-0.195332198059925,1,878.18,-0.194838264785883,0.822970889536986,0.822967750158172,41.50778,-85.75944,-3.42272781549231e-05,-0.000427825096227807,-0.000106481797593298,-3.41979964736936e-06,0,4,405
90685,90685,1788.5,ELKHART R,LMJ210-0008,Elkhart River,8,4,2270760.481,2330082.29910722,1269.64522281241,1302.81369813096,-0.0257887994139114,-0.0446518130703186,0.00145745623722973,0.0211864406779661,5.82018972126322e-07,1,-0.0258076130046781,1,910.32,-0.110708728918306,0.974540891482694,0.895199456672951,41.68778,-85.97222,-6.63359476551818e-05,-0.000209583915124041,-5.32385340059055e-05,1.02389210999083e-08,1.83094920300923e-10,4,405
91279,91279,560.15,BATTLE CR,130202,BATTLE CREEK R 9 MILE RD PENNFIELD TWP SEC 21,9,4,368216.8208,603324.351813606,657.353960189235,1077.07641134269,-0.493782997361207,-0.856292985033497,0.00457163623182158,0.0211864406779661,0.000673498174081283,0.999999998615618,-0.49491558028256,1,560.15,-0.493789673081421,0.610313208298542,0.610309134031919,42.36417,-85.12222,-6.12563567252226e-05,-0.000374202385431483,-0.000173218557162465,-0.000285573748397541,-5.10651732719275e-06,4,405
91283,91283,961.01,GRAND R,380031x,GRAND R AT MAPLE GROVE RD RIVES TWP SEC 35,10,4,734480.7959,819329.379763036,764.280076065806,852.571128045532,-0.109322326637342,-0.189861126239396,0.00750541278065449,0.0211864406779661,5.45190822707217e-05,0.999999999999265,-0.109734905118013,1,961.01,-0.109329002357557,0.896441423975818,0.896435439603657,42.34167,-84.40163,-0.000203928513872168,-0.000233513662217652,-0.00021413889618606,-0.000232228969467019,-4.12201594073468e-06,4,405
90251,90251,1831.99,PERE MARQUETTE R,4122500,PERE MARQUETTE RIVER AT SCOTTVILLE MI,11,4,360381.6147,629875.941104698,196.715928962494,343.820621894605,-0.558359370276138,-0.971545214329898,0.0112554460524695,0.0211864406779661,0.00214899119318655,0.999999955177423,-0.561528439360059,1,1831.99,-0.558396563574478,0.572146975590067,0.572125695952642,43.94469,-86.27918,-0.00015986574372081,-0.000218526038616677,-5.36358188507948e-05,-0.00190939496239529,9.5410762968811e-07,4,406
91344,91344,1801.91,BLACK R,740153,BLACK R AT WADHAMS RD BRIDGE KIMBALL TWP SEC 2,12,4,2061061.521,2371606.43011942,1143.82045773651,1316.16253315616,-0.140346392611944,-0.243381333555362,0.00457052492677083,0.0211864406779661,5.4395141904343e-05,0.99999999999927,-0.140668224581781,1,1801.91,-0.140351160983526,0.869057148279118,0.869053004301589,42.98981,-82.53775,-4.43864600148416e-05,-0.000408650410388866,-0.000107659463383505,5.16451180279372e-05,-3.03937567699532e-08,4,409
91345,91345,1847.55,BLACK R,740144,BLACK R AT 10TH AVE BRIDGE CITY OF PORT HURON,13,4,2214303.138,2114167.74338918,1198.50782820492,1144.30881079764,0.0462765105007357,0.0800669267569007,5.96590346060069e-06,0.0211864406779661,7.64918432260729e-09,1,0.0462766485419504,1,45.64,-0.0907807938815886,1.04736397805895,0.91321787190517,42.98083,-82.43361,4.91774599821774e-06,0,0,0,0,4,409
90253,90253,791.93,CLINTON R,4161820,CLINTON RIVER AT STERLING HEIGHTS MI,14,4,431450.7411,894712.722323809,544.809189069741,1129.78763567968,-0.729349339456771,-1.29156088796954,0.0453944858887402,0.0211864406779661,0.015864958073198,0.999982517164135,-0.74648936463575,1,791.93,-0.729353154154037,0.482222651287898,0.482220811757977,42.61452,-83.02623,-0.00044732574176096,-3.87757999426893e-05,-5.32385340059055e-05,-0.000285563509476441,-1.24575952823545e-05,4,409
65164,65164,1956.9,CLINTON R,4165500,CLINTON RIVER AT MORAVIAN DRIVE AT MT CLEMENS MI,15,4,1884565.524,2058030.58244857,963.036191936226,1051.67897309447,-0.0880521944916186,-0.153961139383269,0.0208693263563914,0.0211864406779661,0.000101046203999726,0.999999999995319,-0.0889856252131438,1,1164.97,-0.291077058688396,0.915713080297287,0.74745807765972,42.59572,-82.90925,-0.000309572305581701,-0.000120941748335398,-5.36334540600514e-05,-1.69966090258477e-06,-3.05768516902542e-08,4,409
91320,91320,2011.42,CLINTON R,500233,CLINTON R NO BOUND GRATIOT AVE IN MT CLEMENS,16,4,1057179.756,1977890.49392453,525.58876614531,983.330430205788,-0.626426114778036,-1.08389619847839,0.00012239013406485,0.0211864406779661,2.87610640322302e-05,0.999999999999892,-0.626464452485275,1,54.52,-0.90551508877706,0.534498628335256,0.404333563774746,42.58417,-82.88278,-2.22741524732915e-05,0,0,0,0,4,409
90663,90663,794.51,CEDAR CR,LEJ090-0008,Cedar Cr,17,4,2502686.598,1136672.75103174,3149.97495059848,1430.65883504518,0.789259438635959,1.36894058713467,0.00493170417295086,0.0211864406779661,0.00185756202430912,0.999999971032567,0.791212863933016,1,794.51,0.789255623938693,2.20176528004947,2.20175688099749,41.21889,-85.07667,-6.63369226246501e-05,-0.00042782423822325,-0.000131515472402808,-3.40956072626945e-06,0,4,410
90664,90664,798.44,CEDAR CR,LEJ090-0026,Cedar Cr,18,4,1524501.945,2506624.23414775,1909.35066504684,3139.40212683201,-0.497269158010274,-0.860365097891254,0,0.0211864406779661,0,1,-0.497269158010274,1,3.93,0.290099616403788,0.608189262766913,1.33656062475694,41.215,-85.05139,0,0,0,0,0,4,410
90668,90668,1291.59,ST MARYS R,LES040-0007,St Marys River,19,4,6100026.866,2292131.72858333,4722.8817705309,1774.65893091718,0.978810905026995,1.69902463675246,0.00647050136818101,0.0211864406779661,0.00375998849193614,0.999999760797582,0.98199305460831,1,1291.59,0.978808044004046,2.6612898333597,2.6612822193593,40.77917,-84.84222,-4.42246150831001e-05,-0.000466886611687963,-3.92555263402492e-07,1.02389210999083e-08,0,4,410
91114,91114,1784.87,ST MARYS R,171420,ST MARYS RIVER NEAR FT WAYNE AT MI PT 1083,20,4,8290047.476,6970425.92818821,4644.62256410831,3905.28493850432,0.173379364346522,0.300008888889454,0.000209310061025006,0.0211864406779661,3.76859317030347e-06,1,0.173397512218136,1,493.28,0.963680687283533,1.18931720405711,2.62132702407149,40.988,-85.09897,-2.6867233638558e-05,-6.28479757927565e-05,-3.94920054145881e-07,1.02389210999083e-08,0,4,410
90670,90670,1853.7,ST MARYS R,LES060-0005,ST Marys River,21,4,7518948.245,8407224.99548981,4056.18398068727,4535.37519312176,-0.111665187526956,-0.193200925734751,6.59275563929186e-07,0.0211864406779661,4.92170599503382e-09,1,-0.111665224336039,1,68.83,0.82967049057363,0.894343644785724,2.29256319460814,40.99111,-85.11694,0,4.4710617463181e-06,0,0,0,4,410
90669,90669,2058.43,ST MARYS R,LES060-0004,ST Marys River,22,4,7189170.009,7852427.17860368,3492.55015181473,3814.76522330304,-0.088246950517199,-0.152695590515187,0.000163602973665127,0.0211864406779661,7.63036368610674e-07,1,-0.088254170134835,1,204.73,0.687984815229871,0.915534757022526,1.98970187355574,41.08389,-85.13583,-2.71928734409776e-05,-2.36440315761443e-05,0,0,0,4,410
90265,90265,928.4,BLANCHARD R,4189000,Blanchard River near Findlay OH,23,4,1795960.031,1623666.79201015,1934.46793515726,1748.88710901567,0.100852671823946,0.175040100796536,0.00623836272700843,0.0211864406779661,3.84674591043658e-05,0.999999999999742,0.101168729129606,1,928.4,0.100850764475313,1.10611366804919,1.10611155830681,41.05609,-83.68793,-6.12573316946909e-05,-0.000452040558838886,1.23181949823107e-05,5.33345400094221e-05,-3.05768516902542e-08,4,410
91199,91199,479.22,CUYAHOGA R,502070,CUYAHOGA R AT SHALERSVILLE  DIAGONAL RDSR 303,24,4,207335.2977,366822.906903602,432.651595718042,765.458259053466,-0.57054191063299,-0.989191175148955,0.00414259198227486,0.0211864406779661,0.000814076961060312,0.999999997555981,-0.571727356192322,1,479.22,-0.570556215747736,0.565219057474199,0.565210972008558,41.23806,-81.30306,-0.000154785177821382,-0.000253116492330516,-0.000160900362180154,-0.000412792343063901,9.23347683077555e-07,4,411
90281,90281,636.15,CHAGRIN R,4209000,Chagrin River at Willoughby OH,25,4,368619.3531,532393.790596172,579.453514265504,836.899773003493,-0.367618875212274,-0.647607224379178,0.0353833483506905,0.0211864406779661,0.00307678775779506,0.999999868728162,-0.374300514953139,1,636.15,-0.367629365629755,0.692381014976192,0.692373751648387,41.63136,-81.40274,-0.000415378917192443,-5.39092843183482e-05,-6.59516490423621e-05,-0.00074659140984201,9.53924534767809e-07,4,411
