,point,ndep,MANC_N,FARM_N,Fixation,ldrainden,PPT30MEAN,meanTemp,tiles_perc,soil_CLAYAVE,rchdecay1,rchdecay2,iresload
point,1,-0.248052130856693,-0.0726038652888463,-0.0331998361915413,2.76251823190396,0.0271995913730604,0.477446202210382,-0.0355052806843904,-0.123918808100907,0.172465003872735,0.0163705281532175,-0.190467551940044,-0.0335217284972471
ndep,-0.248052130856693,1,0.0173281405105785,-0.05191668550153,3.82984860876028,0.222877287969834,-0.512350139304804,0.590228969342397,-0.00109975579358068,0.123722260846296,0.280878266665926,-0.0142073986099453,0.106525443446282
MANC_N,-0.0726038652888463,0.0173281405105785,1,-0.0225739637700419,0.930959347140345,0.0569299384402216,-0.309113682474049,0.415385964292179,-0.000586575137279235,-0.0823501213190337,-0.028980832238404,-0.0077057808563658,-0.138101876321555
FARM_N,-0.0331998361915413,-0.05191668550153,-0.0225739637700419,1,1.32092250841008,-0.0237060552125913,0.155136097183805,0.0495968779491996,-0.100232829379167,0.0518144382673856,0.03527919949103,-0.0949123773126772,-0.0234005330604627
Fixation,2.76251823190396,3.82984860876028,0.930959347140345,1.32092250841008,1,2.68871663878198,-11.9595418398398,-4.78604660563108,7.32957224895309,-4.61217868129117,-2.45561710663659,8.36147707225959,2.27189541856209
ldrainden,0.0271995913730604,0.222877287969834,0.0569299384402216,-0.0237060552125913,2.68871663878198,1,0.158698716995761,-0.000795962775846092,-0.159754434875644,0.0537806188585261,0.232501669514464,-0.0287595194971807,-0.115008557404872
PPT30MEAN,0.477446202210382,-0.512350139304804,-0.309113682474049,0.155136097183805,-11.9595418398398,0.158698716995761,1,-1.94184746508337,0.829167397201738,0.0158524846911055,-0.477622093581298,0.675376887128611,0.118586690122841
meanTemp,-0.0355052806843904,0.590228969342397,0.415385964292179,0.0495968779491996,-4.78604660563108,-0.000795962775846092,-1.94184746508337,1,0.273837651235482,-0.83760467784042,-0.138049629899968,0.428178610075713,0.0400867277480976
tiles_perc,-0.123918808100907,-0.00109975579358068,-0.000586575137279235,-0.100232829379167,7.32957224895309,-0.159754434875644,0.829167397201738,0.273837651235482,1,0.351908211127926,0.0251009227760747,-0.647557522767409,-0.285450755016622
soil_CLAYAVE,0.172465003872735,0.123722260846296,-0.0823501213190337,0.0518144382673856,-4.61217868129117,0.0537806188585261,0.0158524846911055,-0.83760467784042,0.351908211127926,1,-0.0605804232361575,0.183491828007339,0.0271662223306364
rchdecay1,0.0163705281532175,0.280878266665926,-0.028980832238404,0.03527919949103,-2.45561710663659,0.232501669514464,-0.477622093581298,-0.138049629899968,0.0251009227760747,-0.0605804232361575,1,0.217005043268053,0.133050204424444
rchdecay2,-0.190467551940044,-0.0142073986099453,-0.0077057808563658,-0.0949123773126772,8.36147707225959,-0.0287595194971807,0.675376887128611,0.428178610075713,-0.647557522767409,0.183491828007339,0.217005043268053,1,-0.088169268528908
iresload,-0.0335217284972471,0.106525443446282,-0.138101876321555,-0.0234005330604627,2.27189541856209,-0.115008557404872,0.118586690122841,0.0400867277480976,-0.285450755016622,0.0271662223306364,0.133050204424444,-0.088169268528908,1
