,point,ndep,MANC_N,FARM_N,Fixation,ldrainden,PPT30MEAN,meanTemp,tiles_perc,soil_CLAYAVE,rchdecay1,rchdecay2,iresload
point,0.0118081817551438,-0.000951625898245601,-0.000467414968324096,-0.0036076754041769,0.300190308811578,0.000168717413870108,9.94399006267616e-06,-8.39849493500586e-05,-0.00136876896383393,7.66579905833331e-05,0.000154836685327155,-0.00151281526955414,-0.0056076415799695
ndep,-0.000951625898245482,0.0012464175399186,3.62439143841188e-05,-0.00183289984338264,0.135211422828002,0.000449162619605857,-3.46691631240967e-06,0.000453596084646722,-3.94665752281427e-06,1.78667087248917e-05,0.000863116804455444,-3.66623016349969e-05,0.00578958527555675
MANC_N,-0.00046741496832402,3.62439143841497e-05,0.00350996445132694,-0.0013373934216945,0.0551546427297146,0.000192529857244567,-3.51005815310449e-06,0.000535698186936153,-3.53245320103929e-06,-1.99563235343415e-05,-0.00014944516598994,-3.33688621513234e-05,-0.0125954377701341
FARM_N,-0.00360767540417801,-0.00183289984338312,-0.00133739342169485,-0.0155233608451385,1.3209225084101,-0.00135321033865846,2.97342908594629e-05,0.00107962103801805,-0.0101885269095978,0.000211941365495489,0.00307070702116677,-0.00693739201883357,-0.0360236802452674
Fixation,0.300190308811597,0.13521142282804,0.0551546427297432,1.32092250841008,-108.953166205452,0.153479738433674,-0.00229223566962877,-0.104182295701494,0.745040767150291,-0.0188656189338117,-0.213737295614183,0.611162062832502,3.49744315214966
ldrainden,0.000168717413869899,0.000449162619605828,0.000192529857244538,-0.00135321033865845,0.153479738433675,0.00325845727767276,1.73629756083587e-06,-9.89044365681628e-07,-0.000926958616774163,1.25573137335401e-05,0.00115518555929782,-0.000119994413184451,-0.0101064469337606
PPT30MEAN,9.94399006267491e-06,-3.46691631240945e-06,-3.51005815310396e-06,2.97342908594564e-05,-0.00229223566962826,1.73629756083545e-06,3.67357954050044e-08,-8.10171265597334e-06,1.61543075993221e-05,1.24281647049965e-08,-7.96799020671814e-06,9.46159387625299e-06,3.4989924053275e-05
meanTemp,-8.39849493498311e-05,0.0004535960846468,0.000535698186936183,0.00107962103801849,-0.104182295701532,-9.89044365653231e-07,-8.1017126559746e-06,0.000473842487341036,0.000605914809988133,-7.45797679350791e-05,-0.000261560347830189,0.000681263862660043,0.00134332140375513
tiles_perc,-0.00136876896383455,-3.94665752303897e-06,-3.53245320121469e-06,-0.0101885269095974,0.745040767150269,-0.00092695861677413,1.61543075993251e-05,0.000605914809987855,0.0103324381439412,0.000146317321154494,0.000222080667675248,-0.004811197054334,-0.0446678379040932
soil_CLAYAVE,7.66579905833535e-05,1.78667087248965e-05,-1.99563235343365e-05,0.000211941365495461,-0.0188656189338097,1.25573137335394e-05,1.24281647049474e-08,-7.45797679350705e-05,0.000146317321154484,1.67313069855524e-05,-2.15683487309378e-05,5.48599043394659e-05,0.000171063168883013
rchdecay1,0.000154836685327488,0.000863116804455542,-0.000149445165989879,0.0030707070211669,-0.213737295614198,0.00115518555929783,-7.96799020671949e-06,-0.000261560347830124,0.000222080667675401,-2.15683487309444e-05,0.00757598872646657,0.00138058411417171,0.0178277910132602
rchdecay2,-0.00151281526955335,-3.66623016351937e-05,-3.336886215147e-05,-0.00693739201883321,0.61116206283248,-0.000119994413184429,9.46159387625537e-06,0.000681263862659814,-0.00481119705433398,5.48599043394727e-05,0.00138058411417159,0.00534252754153045,-0.00992094292250344
iresload,-0.00560764157997408,0.00578958527555546,-0.012595437770135,-0.036023680245266,3.4974431521496,-0.0101064469337606,3.49899240532904e-05,0.00134332140375385,-0.0446678379040937,0.000171063168883057,0.0178277910132596,-0.0099209429225038,2.36987072837762
