waterid,origWaterid,demtarea,rchname,station_id,station_name,staid,huc2,Obs,predict,Obsyield,predictYield,Resids,standardResids,leverage,leverageCrit,CooksD,CooksDpvalue,boot_resid,weight,tiarea,pResids,ratio.obs.pred,pratio.obs.pred,xlat,xlon,point_Jgradient,ndep_Jgradient,MANC_N_Jgradient,FARM_N_Jgradient,Fixation_Jgradient,ldrainden_Jgradient,PPT30MEAN_Jgradient,meanTemp_Jgradient,tiles_perc_Jgradient,soil_CLAYAVE_Jgradient,rchdecay1_Jgradient,rchdecay2_Jgradient,iresload_Jgradient,huc2,huc4
65144,65144,1159.37,NEMADJI R,4024430,NEMADJI RIVER NEAR SOUTH SUPERIOR WI,1,4,376632.5467,309898.484478019,324.859662316603,267.299036958019,0.195025260529375,0.485981091226536,0.0344699382661447,0.0550847457627119,0.000648589773828528,1,0.198475985346798,1,1159.37,0.195290381989336,1.21534168627635,1.21566394215515,46.63326,-92.0943,2.09863897307411e-06,-1.74303452618977,-0.397749928977242,-0.283139503049285,-0.0153206544322257,0.870199664784139,160.652936473382,4.10520299550748,0.106428206865942,-3.80777902086286,0,0,0,4,401
90564,90564,487.2,BOIS BRULE R,163002,BOIS BRULE RIVER,2,4,82640.58624,110027.771697401,169.623534975369,225.836969822251,-0.286231885216125,-0.713461297060518,0.0350207068403442,0.0550847457627119,0.00142103377058197,1,-0.291379513518732,1,487.2,-0.285915265343078,0.751088429449238,0.751326276624001,46.67936,-91.59491,-0.0472487578397906,-1.80253808751553,0.0275134140863315,-0.00168529375403139,0,0.810004827992522,147.3334872657,5.33853049214435,0.0664488465759545,5.50447914966859,0,0.174814619166466,0,4,401
90583,90583,332.05,KEWAUNEE R,313038,KEWAUNEE RIVER NEAR KEWAUNEE WI,3,4,380809.1308,515770.711051687,1146.84273693721,1553.29230854295,-0.303364027727216,-0.765849389341078,0.0592716481912727,0.0550847457627119,0.00284266812302666,1,-0.312774951373281,1,332.05,-0.303039778459638,0.738330274752337,0.738569716620484,44.45745,-87.55573,0.0105834363412128,-0.303233517777403,-1.88319064619496,-1.32864092524149,-0.012608768507253,0.210467117695673,194.864022151902,1.52513770763147,-0.106670497173274,-9.28973016528055,0.309220192445862,0.38850005510791,0,4,403
90214,90214,1807.74,OCONTO R,4071000,OCONTO RIVER NEAR GILLETT WI,4,4,325416.8245,510160.596495018,180.013068527554,282.209054673248,-0.449618673732715,-1.11452499693939,0.0242650442253168,0.0550847457627119,0.00237621371300266,1,-0.455175007741336,1,1807.74,-0.449410772731738,0.637871342349306,0.638003970226132,44.86465,-88.30013,0.0109339090497161,-1.2887457930751,-0.646979786831837,-0.690757239340611,-0.0127010549081439,0.541323908974582,171.185929345016,3.43177735691196,0.0664503061561192,15.4828836088009,0,0,0.00778685602985554,4,403
90599,90599,2548.52,OCONTO R,433002,OCONTO RIVER NEAR OCONTO WI,5,4,566376.9709,859642.864678107,222.237600999796,337.310621332423,-0.417257146536302,-1.02641639198905,0.00920633861003885,0.0550847457627119,0.000753021767941183,1,-0.419191216394815,1,740.78,-0.609571294485521,0.658851476784001,0.543583856526304,44.88271,-87.88429,-0.0585331395980101,-0.303788376286564,-0.742273074716098,-0.921023188950164,-0.00980459618138953,0.33283782674826,94.8856764923533,1.7159075927813,0.0254988654764733,6.17048890490431,0.117035093725175,0.173535111812779,4.6905387281268e-05,4,403
90223,90223,313.15,RED R,4077630,RED RIVER AT MORGAN ROAD NEAR MORGAN WI,6,4,138169.3425,119260.215804444,441.224149768482,380.840542246349,0.147172259204131,0.367173615010956,0.0367660241584701,0.0550847457627119,0.000395835238416416,1,0.149954692370274,1,313.15,0.14743261229251,1.15855351734867,1.15885518960391,44.89814,-88.84409,0,-0.833885488845579,-0.714765115311385,-1.61010528690876,-0.0252180929566801,-0.00198103546935142,200.30538986396,3.24100747176214,0.0662065562686223,10.9862937607211,0,0.874057680081083,0,4,403
90684,90684,878.18,ELKHART R,LMJ190-0006,Elkhart River,7,4,960006.8084,1442075.41587761,1093.1777180077,1642.11826263136,-0.406898239456293,-1.00093258886053,0.00920279460473855,0.0550847457627119,0.000715815771371028,1,-0.408783562624682,1,878.18,-0.406860092483637,0.665711930062801,0.66573732544197,41.50778,-85.75944,-0.047599230548294,-0.454295418156944,-0.64606885500146,-2.76476501297654,-0.0377340191208683,0.6015187457662,52.622160045778,-0.00627955600532838,-0.198861959113199,3.80805208759318,0.0957379487300984,0.174822327042091,0,4,405
90685,90685,1788.5,ELKHART R,LMJ210-0008,Elkhart River,8,4,2270760.481,2401824.18175086,1269.64522281241,1342.92657632142,-0.0561137353269974,-0.137958118542631,0.00810284792848491,0.0550847457627119,1.19597532198189e-05,1,-0.0563424668339109,1,910.32,-0.23790504086899,0.945431600802972,0.788277541690194,41.68778,-85.97222,-0.0475950332703478,-0.117342547124047,-0.494848716477398,-1.27572676231371,-0.0310115663523628,0.543304944443933,23.6780928068852,-0.00627955600532838,-0.0662080158487869,3.11924126037624,0,0.174830034917716,-2.80870582522563e-07,4,405
91279,91279,560.15,BATTLE CR,130202,BATTLE CREEK R 9 MILE RD PENNFIELD TWP SEC 21,9,4,368216.8208,476946.701414208,657.353960189235,851.462467935745,-0.258732795945191,-0.637318443843113,0.0118729243571451,0.0550847457627119,0.000375417508501895,1,-0.260282567377681,1,560.15,-0.258704185715699,0.772029284840823,0.77205137309181,42.36417,-85.12222,-0.0479476046178243,-0.682275414999157,-0.370225605527673,-2.2513595603177,-0.0378268614639332,0.26868091901794,99.9783456595485,1.04872368154047,-0.0328609878269789,6.19315344352037,0,0.174822327042091,0,4,405
91283,91283,961.01,GRAND R,380031x,GRAND R AT MAPLE GROVE RD RIVES TWP SEC 35,10,4,734480.7959,515099.244148164,764.280076065806,535.997798304039,0.354804260276721,0.879410751052602,0.0240739270647456,0.0550847457627119,0.00146747330170153,1,0.359153717069974,1,961.01,0.355161888145373,1.42590152139445,1.42641155471209,42.34167,-84.40163,-0.391362590254753,-0.571634622759851,-0.190586575768522,-1.38153478342525,-0.0310104544680147,0.420958103288567,94.712371227541,0.0125591120106568,0.0814183007446271,6.23848252075248,-0.0439873638946879,0,0.0255738282798444,4,405
90251,90251,1831.99,PERE MARQUETTE R,4122500,PERE MARQUETTE RIVER AT SCOTTVILLE MI,11,4,360381.6147,553314.814627805,196.715928962494,302.02938587427,-0.428763613745376,-1.06390248278162,0.0262330938304153,0.0550847457627119,0.00234560454401506,1,-0.434500636742999,1,1831.99,-0.428599581762954,0.651313872632194,0.651420717700666,43.94469,-86.27918,0,-1.44091406795182,-0.24741890355708,-0.919337895196133,-0.0127010549081439,0.874161735722842,89.4474408031529,2.76470693162304,0.0662065562686223,15.4600825368197,0,0,0,4,406
91344,91344,1801.91,BLACK R,740153,BLACK R AT WADHAMS RD BRIDGE KIMBALL TWP SEC 2,12,4,2061061.521,1888936.88581175,1143.82045773651,1048.29702138939,0.0872069750028022,0.21514922100498,0.0149785255281789,0.0550847457627119,5.41451509595258e-05,1,0.0878675207872527,1,1801.91,0.0872842226224311,1.0911224914295,1.09120678130024,42.98981,-82.53775,-0.0578321941810033,-0.548076533768503,-0.494848716477398,-2.76476501297654,-0.037919147864824,0.212460087113635,189.599091727514,0.660866526584861,-0.173122262909558,3.80805208759318,0.116330113900759,0.137223309745176,0,4,409
91345,91345,1847.55,BLACK R,740144,BLACK R AT 10TH AVE BRIDGE CITY OF PORT HURON,13,4,2214303.138,2075329.41863889,1198.50782820492,1123.28728242207,0.064817846560306,0.158710816342357,2.40355849142002e-06,0.0550847457627119,4.65720588745201e-09,1,0.0648179244571892,1,45.64,0.151472509646243,1.06696465540023,1.1635463150702,42.98083,-82.43361,0,0.0174111926157682,0,0,0,0,-0.0010440076193512,0,0,0,0,0,0,4,409
90253,90253,791.93,CLINTON R,4161820,CLINTON RIVER AT STERLING HEIGHTS MI,14,4,431450.7411,326267.448207628,544.809189069741,411.99026202774,0.279435908345963,0.696910605438871,0.0360975366204058,0.0550847457627119,0.00139912098445036,1,0.284620166525443,1,791.93,0.279937541036393,1.32238365632307,1.32304717360143,42.61452,-83.02623,-0.60852765254949,-0.851310051545906,-0.150314661375305,-0.177361939053785,-0.0153200984900517,0.870187730835529,65.7693479962676,1.04244412553515,0.0331032781343111,2.38510135592719,0,0.389779562461598,0.00632323942433046,4,409
65164,65164,1956.9,CLINTON R,4165500,CLINTON RIVER AT MORAVIAN DRIVE AT MT CLEMENS MI,15,4,1884565.524,1546769.96415167,963.036191936226,790.418500767371,0.197528440579182,0.48905745559164,0.0219471734206318,0.0550847457627119,0.00041285038940592,1,0.199732380831463,1,1164.97,0.268368322476155,1.2183877161292,1.30782875403993,42.59572,-82.90925,-0.534500261413273,-0.395343372819201,-0.1512310478873,-0.741975956142348,-0.0155057831761814,0.332849760696871,47.1818363413389,-0.197049441155154,-0.00760295307767313,-0.0228010719812148,0.117731630677442,0.214980359046381,0,4,409
91320,91320,2011.42,CLINTON R,500233,CLINTON R NO BOUND GRATIOT AVE IN MT CLEMENS,16,4,1057179.756,1898537.60682698,525.58876614531,943.879252879547,-0.585479154328818,-1.43358472144227,2.40292753100557e-06,0.0550847457627119,3.79878830377848e-07,1,-0.585479857762075,1,54.52,-0.3193706414504,0.556838986069316,0.72660618901961,42.58417,-82.88278,0,0.0174111926157682,0,0,0,-1.19339486105507e-05,-0.0010440076193512,0,0,0.000136533365156975,0,0,0,4,409
