PARAMETER,ESTIMATE,PARM TYPE,EST TYPE,INITIAL VALUE,MIN,MAX,DESCRIPTION,PARAMETER UNITS
point,0.789478293004755,SOURCE,Estimated,0.7893708,0,10000,Municipal/industrial point source,fraction, dimensionless
ndep,0.513053881115458,SOURCE,Estimated,0.5130504,0,10000,Atmospheric deposition N (wet only),fraction, dimensionless
MANC_N,0.290962379593422,SOURCE,Estimated,0.2909272,0,10000,Livestock manure N,fraction, dimensionless
FARM_N,0.13065665287715,SOURCE,Estimated,0.1306394,0,10000,Fertilizer N use,fraction, dimensionless
Fixation,6.25106701207327,SOURCE,Estimated,6.2506424,0,10000,Cropland area (fixation-related),kg/km2/year
ldrainden,0.13440334470701,DELIVF,Estimated,0.1344048,-10000,10000,Drainage density (km/km2),dimensionless
PPT30MEAN,0.00159201594390294,DELIVF,Estimated,0.0015921,-10000,10000,Precipitation (annual mean),mm/yr
meanTemp,-0.0412356684092207,DELIVF,Estimated,-0.041234,-10000,10000,Air temperature (annual mean),degrees C.
tiles_perc,1.13295314693544,DELIVF,Estimated,1.1328867,-10000,10000,Tile drainage (fraction of area),dimensionless
soil_CLAYAVE,0.0139254516652817,DELIVF,Estimated,0.0139265,-10000,10000,Soil clay content (fraction of area),dimensionless
rchdecay1,0.424093222312267,STRM,Estimated,0.4242405,0,10000,Small stream decay (mean Q<1.13 m3/s),per day travel time
rchdecay2,0.233019422634296,STRM,Estimated,0.2330996,0,10000,Medium stream decay (1.13 m3/s < mean Q < 1.93 m3/s),per day travel time
iresload,6.71037941402644,RESV,Estimated,6.7102929,0,10000,Reservoir decay (areal hydr. Load),meters/year
